"FPR_0","Truncation","Calibration","Avg_CPs","dH_mean","dH_se","FPSLE_mean","FPSLE_se","FNSLE_mean","FNSLE_se","Avg_Time"
0.01,0,"Adaptive",2.9,93.6,5.17300686255102,24.83625,2.30654153928376,36.1166666666667,2.61459857932229,2.12564134597778
0.05,0,"Adaptive",4.5,83.55,5.63656997229978,17.5441666666667,1.84154402425651,21.7125,2.16997449084907,1.51056594848633
0.01,0.25,"Adaptive",3.25,89.2,4.72763432551519,21.0966666666667,2.14421152304421,30.7458333333333,2.84513457553838,1.99115444421768
0.05,0.25,"Adaptive",4.75,78.35,7.23597554620406,16.527619047619,2.11499306141625,19.2125,2.93731086861587,1.18774634599686
0.01,0,"Fixed",2.9,96.55,5.51384620750343,26.9158333333333,3.50504241513157,38.3208333333333,4.3749405802147,2.82613705396652
0.05,0,"Fixed",4.45,84.25,5.65772643568533,18.0745833333333,2.11837628455566,22.9333333333333,2.823367405913,2.29195303916931
0.01,0.25,"Fixed",3.15,93.4,6.20373401988461,21.0983333333333,2.21216141229231,31.625,2.895950868497,2.40681846141815
0.05,0.25,"Fixed",4.75,80.5,7.65901601485396,17.026369047619,2.23159205614441,20.5833333333333,3.47461028989823,1.78109446763992
